Model,Month,Sales,Color,Region,Date
Maruti Suzuki Alto 800,01-01-2013,312,Black,Mumbai,01-01-2013
Maruti Suzuki Alto 800,01-02-2013,533,Black,Mumbai,01-02-2013
Maruti Suzuki Alto 800,01-03-2013,605,Black,Mumbai,01-03-2013
Maruti Suzuki Alto 800,01-04-2013,968,Black,Mumbai,01-04-2013
Maruti Suzuki Alto 800,01-05-2013,1085,Black,Mumbai,01-05-2013
Maruti Suzuki Alto 800,01-06-2013,527,Black,Mumbai,01-06-2013
Maruti Suzuki Alto 800,01-07-2013,1270,Black,Mumbai,01-07-2013
Maruti Suzuki Alto 800,01-08-2013,607,Black,Mumbai,01-08-2013
Maruti Suzuki Alto 800,01-09-2013,538,Black,Mumbai,01-09-2013
Maruti Suzuki Alto 800,01-10-2013,698,Black,Mumbai,01-10-2013
Maruti Suzuki Alto 800,01-11-2013,821,Black,Mumbai,01-11-2013
Maruti Suzuki Alto 800,01-12-2013,778,Black,Mumbai,01-12-2013
Maruti Suzuki Alto K10,01-01-2013,735,Black,Mumbai,01-01-2013
Maruti Suzuki Alto K10,01-02-2013,948,Black,Mumbai,01-02-2013
Maruti Suzuki Alto K10,01-03-2013,667,Black,Mumbai,01-03-2013
Maruti Suzuki Alto K10,01-04-2013,816,Black,Mumbai,01-04-2013
Maruti Suzuki Alto K10,01-05-2013,704,Black,Mumbai,01-05-2013
Maruti Suzuki Alto K10,01-06-2013,137,Black,Mumbai,01-06-2013
Maruti Suzuki Alto K10,01-07-2013,1267,Black,Mumbai,01-07-2013
Maruti Suzuki Alto K10,01-08-2013,409,Black,Mumbai,01-08-2013
Maruti Suzuki Alto K10,01-09-2013,685,Black,Mumbai,01-09-2013
Maruti Suzuki Alto K10,01-10-2013,351,Black,Mumbai,01-10-2013
Maruti Suzuki Alto K10,01-11-2013,776,Black,Mumbai,01-11-2013
Maruti Suzuki Alto K10,01-12-2013,882,Black,Mumbai,01-12-2013
Maruti Suzuki S-Presso,01-01-2013,314,Black,Mumbai,01-01-2013
Maruti Suzuki S-Presso,01-02-2013,854,Black,Mumbai,01-02-2013
Maruti Suzuki S-Presso,01-03-2013,981,Black,Mumbai,01-03-2013
Maruti Suzuki S-Presso,01-04-2013,701,Black,Mumbai,01-04-2013
Maruti Suzuki S-Presso,01-05-2013,934,Black,Mumbai,01-05-2013
Maruti Suzuki S-Presso,01-06-2013,283,Black,Mumbai,01-06-2013
Maruti Suzuki S-Presso,01-07-2013,1044,Black,Mumbai,01-07-2013
Maruti Suzuki S-Presso,01-08-2013,918,Black,Mumbai,01-08-2013
Maruti Suzuki S-Presso,01-09-2013,374,Black,Mumbai,01-09-2013
Maruti Suzuki S-Presso,01-10-2013,579,Black,Mumbai,01-10-2013
Maruti Suzuki S-Presso,01-11-2013,664,Black,Mumbai,01-11-2013
Maruti Suzuki S-Presso,01-12-2013,589,Black,Mumbai,01-12-2013
Maruti Suzuki Eeco,01-01-2013,939,Black,Mumbai,01-01-2013
Maruti Suzuki Eeco,01-02-2013,601,Black,Mumbai,01-02-2013
Maruti Suzuki Eeco,01-03-2013,772,Black,Mumbai,01-03-2013
Maruti Suzuki Eeco,01-04-2013,788,Black,Mumbai,01-04-2013
Maruti Suzuki Eeco,01-05-2013,845,Black,Mumbai,01-05-2013
Maruti Suzuki Eeco,01-06-2013,515,Black,Mumbai,01-06-2013
Maruti Suzuki Eeco,01-07-2013,1290,Black,Mumbai,01-07-2013
Maruti Suzuki Eeco,01-08-2013,844,Black,Mumbai,01-08-2013
Maruti Suzuki Eeco,01-09-2013,714,Black,Mumbai,01-09-2013
Maruti Suzuki Eeco,01-10-2013,573,Black,Mumbai,01-10-2013
Maruti Suzuki Eeco,01-11-2013,651,Black,Mumbai,01-11-2013
Maruti Suzuki Eeco,01-12-2013,618,Black,Mumbai,01-12-2013
Maruti Suzuki Celerio,01-01-2013,384,Black,Mumbai,01-01-2013
Maruti Suzuki Celerio,01-02-2013,602,Black,Mumbai,01-02-2013
Maruti Suzuki Celerio,01-03-2013,1177,Black,Mumbai,01-03-2013
Maruti Suzuki Celerio,01-04-2013,753,Black,Mumbai,01-04-2013
Maruti Suzuki Celerio,01-05-2013,1257,Black,Mumbai,01-05-2013
Maruti Suzuki Celerio,01-06-2013,155,Black,Mumbai,01-06-2013
Maruti Suzuki Celerio,01-07-2013,1467,Black,Mumbai,01-07-2013
Maruti Suzuki Celerio,01-08-2013,799,Black,Mumbai,01-08-2013
